CUST_ID,LAST_NAME,FIRST_NAME,STREET_ADDRESS,POSTAL_CODE,CITY_ID,CITY,STATE_PROVINCE_ID,STATE_PROVINCE,COUNTRY_ID,COUNTRY,CONTINENT_ID,CONTINENT,AGE,COMMUTE_DISTANCE,CREDIT_BALANCE,EDUCATION,EMAIL,FULL_TIME,GENDER,HOUSEHOLD_SIZE,INCOME,INCOME_LEVEL,INSUFF_FUNDS_INCIDENTS,JOB_TYPE,LATE_MORT_RENT_PMTS,MARITAL_STATUS,MORTGAGE_AMT,NUM_CARS,NUM_MORTGAGES,PET,PROMOTION_RESPONSE,RENT_OWN,SEG,WORK_EXPERIENCE,YRS_CURRENT_EMPLOYER,YRS_CUSTOMER,YRS_RESIDENCE,COUNTRY_CODE,USERNAME
1161115,Recker,Laurel,61 LONDON ROAD,PO8 8,52033,COWPLAIN,1113,,129,United Kingdom,14,Europe,30,1,21,Bachelors,Laurel.Recker@oraclemail.com,Yes,Male,1,108625,"E: 90,000 - 109,999",0,Services,0,S,190000,1,1,Dog,0,Own,4,2,2,4,5,GB,guest93
1168350,Suzuki,Otto,,,49239,Kitanoshita,1112,Tokyo,128,Japan,16,Asia,27,40,206,Masters,Otto.Suzuki@oraclemail.com,Yes,Male,1,93770,"E: 90,000 - 109,999",1,Professional,1,S,0,1,0,Unknown,0,Rent,4,8,2,5,2,JP,guest51
1161269,Klossovsky,Ta-Heng,FAIRFAX STREET,CV1 5,55742,COVENTRY,1113,,129,United Kingdom,14,Europe,44,6,136,High School,Ta-Heng.Klossovsky@oraclemail.com,Yes,Male,1,11851,"A: Below 30,000",1,Business,1,S,140000,1,1,Unknown,0,Own,6,18,3,4,16,GB,guest2559
1161657,Rovigo,Bhadrabuja,27 DUNDERG ROAD,BT51 4,37386,MACOSQUIN,1113,,129,United Kingdom,14,Europe,65,18,66,Bachelors,Bhadrabuja.Rovigo@oraclemail.com,Yes,Male,2,54651,"C: 50,000 - 69,999",1,Business,0,M,6202,2,1,Dog,0,Own,8,28,20,2,2,GB,guest935
1161937,Lyakhov,Candrin,1 COMMERCIAL ROAD,EX7 9,110601,DAWLISH,1113,,129,United Kingdom,14,Europe,49,21,36,Bachelors,Candrin.Lyakhov@oraclemail.com,Yes,Male,2,118261,"F: 110,000 - 129,999",0,Business,0,M,10000,1,1,Unknown,0,Own,6,25,4,1,1,GB,guest1056
1162618,Sreedhar,Motilal,12 ANTONY ROAD,PL11 2,89177,TORPOINT,1113,,129,United Kingdom,14,Europe,50,16,165,Bachelors,Motilal.Sreedhar@oraclemail.com,Yes,Male,1,116367,"F: 110,000 - 129,999",0,Business,0,S,0,1,0,Unknown,0,Rent,6,28,6,1,1,GB,guest3132
1162875,Samudra,Rajindar,1 WHEAL ALFRED ROAD,TR27 5,108283,HAYLE,1113,,129,United Kingdom,14,Europe,68,7,469,Masters,Rajindar.Samudra@oraclemail.com,Yes,Male,2,44486,"B: 30,000 - 49,999",0,Professional,0,M,0,2,0,Cat,0,Own,8,13,5,0,21,GB,guest972
1163016,Kavelin,Qing,,GL54 2,97907,LOWER SLAUGHTER,1113,,129,United Kingdom,14,Europe,35,9,388,High School,Qing.Kavelin@oraclemail.com,No,Female,4,28289,"A: Below 30,000",0,Skilled,4,M,0,2,0,Unknown,0,Rent,3,14,1,2,7,GB,guest4179
1163934,Rockmeier,Anantarama,12 ANTONY ROAD,PL11 2,56321,TORPOINT,1113,,129,United Kingdom,14,Europe,63,9,216,Bachelors,Anantarama.Rockmeier@oraclemail.com,Yes,Male,2,105396,"E: 90,000 - 109,999",2,Labor,1,M,0,2,0,Dog,0,Own,8,38,25,7,24,GB,guest592
1164015,Uguccione,Charles,WILLIAM STREET,BT48 9,24447,LONDONDERRY,1113,,129,United Kingdom,14,Europe,53,32,113,Doctorate,Charles.Uguccione@oraclemail.com,Yes,Male,7,92423,"E: 90,000 - 109,999",0,Business,0,M,210000,2,2,Other,0,Own,6,22,12,2,12,GB,guest1961
1164063,Azlivian,Lyuba,FINKLE STREET,CA14 2,49458,WORKINGTON,1113,,129,United Kingdom,14,Europe,18,4,0,LessThanHS,Lyuba.Azlivian@oraclemail.com,No,Female,9,656,"A: Below 30,000",0,Business,0,S,0,0,0,Cat,0,,1,4,1,2,18,GB,guest1463
1164077,Byers,Frank,15 KING STREET,EH48 1,72293,BATHGATE,1113,,129,United Kingdom,14,Europe,37,34,231,Masters,Frank.Byers@oraclemail.com,Yes,Male,1,94894,"E: 90,000 - 109,999",1,Business,1,S,202000,1,1,Unknown,0,Own,4,14,9,5,4,GB,guest448
1164404,Brauner,Cittabhoga,25 HIGH STREET,IV1 1,11667,INVERNESS,1113,,129,United Kingdom,14,Europe,41,25,66,Bachelors,Cittabhoga.Brauner@oraclemail.com,Yes,Male,5,71287,"D: 70,000 - 89,999",0,Professional,0,M,130000,2,2,Dog,0,Own,6,14,9,10,10,GB,guest1010
1164448,Bashinjaghian,Teddy,GUILDFORD ROAD,RH12 1,99515,HORSHAM,1113,,129,United Kingdom,14,Europe,42,14,82,Masters,Teddy.Bashinjaghian@oraclemail.com,Yes,Male,6,81021,"D: 70,000 - 89,999",0,Professional,0,M,230000,1,1,Cat,0,Own,6,23,10,3,8,GB,guest2572
1015343,Erickson,Gracie,630 Nevada St,94965,95695,Sausalito,1134,California,102,United States,11,North America,75,1,100,High School,Gracie.Erickson@oraclemail.com,No,Female,1,67038,"C: 50,000 - 69,999",0,Services,0,S,0,1,0,Other,0,Own,10,4,2,12,2,US,
1015416,Carney,Aurora,150 Serra Ave ,94030-2629,49728,Millbrae,1134,California,102,United States,11,North America,69,2,410,Associates,Aurora.Carney@oraclemail.com,No,Female,2,10826,"A: Below 30,000",0,Business,3,M,0,2,0,Other,0,Rent,8,39,3,10,2,US,guest826
1015611,Mcclure,Wiley,703 Santa Barbara Rd,94704-1116,56756,Berkeley,1134,California,102,United States,11,North America,67,0,36,Bachelors,Wiley.Mcclure@oraclemail.com,No,Male,1,104053,"E: 90,000 - 109,999",1,Business,1,S,0,1,0,Cat,0,Rent,9,7,3,5,3,US,guest2773
1015716,Hobbs,Dudley,5401 Snyder Ln ,94928-2955,77943,Rohnert Park,1134,California,102,United States,11,North America,63,9,87,Bachelors,Dudley.Hobbs@oraclemail.com,Yes,Male,2,32758,"B: 30,000 - 49,999",1,Professional,0,M,0,2,0,Unknown,0,Rent,8,35,8,3,2,US,guest945
1015901,Trujillo,Alisha,1650 Los Gamos Dr ,94903-1899,77600,San Rafael,1134,California,102,United States,11,North America,57,8,473,Doctorate,Alisha.Trujillo@oraclemail.com,Yes,Female,3,116431,"F: 110,000 - 129,999",0,Business,0,S,0,1,0,Unknown,0,Rent,9,25,6,1,6,US,guest1278
1016076,Vincent,Alicia,1500 Warburton Ave,95050,69723,Santa Clara,1134,California,102,United States,11,North America,45,1,106,Masters,Alicia.Vincent@oraclemail.com,Yes,Female,1,97112,"E: 90,000 - 109,999",0,Business,0,S,0,1,0,Unknown,0,Rent,7,13,13,1,14,US,guest3712
1016103,Tillman,Jason,333 E 38th St Frnt 3,10019-7002,35726,New York,1079,New York,102,United States,11,North America,60,18,132,LessThanHS,Jason.Tillman@oraclemail.com,Yes,Male,2,4823,"A: Below 30,000",2,Professional,1,M,0,2,0,Unknown,0,Own,8,15,15,10,5,US,guest497
1016220,Irwin,Velma,4111 Roblar Rd,94952,10206,Petaluma,1134,California,102,United States,11,North America,23,19,22,Masters,Velma.Irwin@oraclemail.com,Yes,Female,1,112511,"F: 110,000 - 129,999",0,Business,0,S,176000,1,1,Other,0,Own,5,3,2,2,2,US,
1016319,Harding,Simon,1505 Tiburon Blvd.,94920,111100,Belvedere-Tiburon,1134,California,102,United States,11,North America,59,4,244,Masters,Simon.Harding@oraclemail.com,No,Male,2,40877,"B: 30,000 - 49,999",0,Business,0,S,0,0,0,Unknown,0,Rent,9,22,11,6,1,US,guest2755
1016375,Howell,Claudia,1 Infinite Loop,95014,105086,Cupertino,1134,California,102,United States,11,North America,72,-1,5,Associates,Claudia.Howell@oraclemail.com,,Female,1,73289,"D: 70,000 - 89,999",0,Business,0,S,0,1,0,Cat,0,Own,10,33,,19,9,US,guest4376
1016725,Spence,Ebony,1195 3rd St Rm B-10,94559,96733,Napa,1134,California,102,United States,11,North America,35,12,231,Bachelors,Ebony.Spence@oraclemail.com,No,Female,3,82477,"D: 70,000 - 89,999",0,Business,0,M,0,2,0,Unknown,0,Rent,3,10,1,4,9,US,guest2673
1016766,Payne,Gregorio,2060 Tapscott Ave,94530,83547,El Cerrito,1134,California,102,United States,11,North America,58,5,164,Doctorate,Gregorio.Payne@oraclemail.com,Yes,Male,2,109011,"E: 90,000 - 109,999",1,Clerical,0,M,0,2,0,Other,0,Rent,8,21,14,9,2,US,guest800
1016849,Morris,Rufus,400 8th Ave,10011,35726,New York,1079,New York,102,United States,11,North America,31,4,408,Bachelors,Rufus.Morris@oraclemail.com,No,Male,3,99664,"E: 90,000 - 109,999",0,Clerical,0,M,0,2,0,Unknown,0,Rent,3,9,4,2,7,US,guest2729
1019909,Rivera,Adolfo,365 5th Ave ,10016-4309,35726,New York,1079,New York,102,United States,11,North America,23,12,398,Associates,Adolfo.Rivera@oraclemail.com,No,Male,5,26742,"A: Below 30,000",1,Scientific,5,M,0,2,0,Other,0,Rent,3,2,2,4,3,US,guest4529
1017132,Ortiz,Wilma,1975 Pennsylvania Ave ,94533-3643,100062,Fairfield,1134,California,102,United States,11,North America,40,0,134,Doctorate,Wilma.Ortiz@oraclemail.com,,Female,7,45675,"B: 30,000 - 49,999",2,Sales,3,M,110000,3,2,Unknown,0,Own,7,19,,8,20,US,guest3591
1018654,Alford,Leo,One Penn Plaza,10016,35726,New York,1079,New York,102,United States,11,North America,30,22,286,Masters,Leo.Alford@oraclemail.com,Yes,Male,1,81490,"D: 70,000 - 89,999",1,Business,1,S,238000,1,1,Dog,0,Own,4,4,4,2,1,US,guest322
1019019,Vaughan,Jan,650 N Delaware St,94401,10165,San Mateo,1134,California,102,United States,11,North America,76,-1,166,Masters,Jan.Vaughan@oraclemail.com,,Male,1,100927,"E: 90,000 - 109,999",0,Scientific,0,S,0,1,0,Dog,0,Own,10,14,,18,8,US,guest2131
1019604,Carroll,Marci,101 Grove St ,94123,111457,San Francisco,1134,California,102,United States,11,North America,47,11,488,Associates,Marci.Carroll@oraclemail.com,Yes,Female,4,45251,"B: 30,000 - 49,999",0,Professional,0,M,0,3,0,Cat,0,Rent,7,16,4,1,17,US,guest3038
1019889,Conley,Beatrice,150 Van Ness Avenue,94108,111457,San Francisco,1134,California,102,United States,11,North America,52,0,132,Bachelors,Beatrice.Conley@oraclemail.com,No,Female,1,81102,"D: 70,000 - 89,999",0,Professional,0,S,0,1,0,Unknown,0,Rent,7,26,1,1,1,US,guest2271
1019942,Franklin,Damian,3010 Colby St Ste 118,94705,56756,Berkeley,1134,California,102,United States,11,North America,56,18,105,Bachelors,Damian.Franklin@oraclemail.com,Yes,Male,1,98823,"E: 90,000 - 109,999",0,Professional,0,S,100000,1,1,Unknown,0,Own,9,7,7,0,10,US,guest2276
1019975,Osborne,Lloyd,150 Van Ness Avenue,94102,111457,San Francisco,1134,California,102,United States,11,North America,55,5,227,Associates,Lloyd.Osborne@oraclemail.com,Yes,Male,2,2980,"A: Below 30,000",3,Skilled,3,M,1429,2,1,Other,0,Own,8,34,12,7,5,US,guest885
1020140,Lynn,Blaine,4665 Bernal Avenue,94566,93024,Pleasanton,1134,California,102,United States,11,North America,50,16,66,LessThanHS,Blaine.Lynn@oraclemail.com,Yes,Male,1,12055,"A: Below 30,000",0,Professional,0,S,0,1,0,Unknown,0,Rent,6,29,4,3,15,US,guest3555
1020151,Schneider,Berta,150 Oak St,94118,111457,San Francisco,1134,California,102,United States,11,North America,49,3,498,LessThanHS,Berta.Schneider@oraclemail.com,Yes,Female,4,9468,"A: Below 30,000",0,Services,3,S,260000,2,2,Other,0,Own,7,28,4,8,18,US,guest1436
1015259,Mcmahon,Tammi,Po Box 280,95433,83824,El Verano,1134,California,102,United States,11,North America,35,6,443,Doctorate,Tammi.Mcmahon@oraclemail.com,No,Female,3,115107,"F: 110,000 - 129,999",0,Business,2,S,188000,1,1,Cat,0,Own,5,7,3,3,1,US,guest4185
1067480,Mcdowell,Hazel,11965 Venice Blvd Ste 304,90047-1307,79886,Los Angeles,1134,California,102,United States,11,North America,43,14,5,Associates,Hazel.Mcdowell@oraclemail.com,Yes,Female,3,68762,"C: 50,000 - 69,999",2,Labor,2,S,0,1,0,Unknown,0,Rent,7,4,4,3,17,US,guest3565
1067591,Prince,Frederic,1225 Wilshire Blvd ,90012,79886,Los Angeles,1134,California,102,United States,11,North America,19,4,0,High School,Frederic.Prince@oraclemail.com,No,Male,8,17032,"A: Below 30,000",0,Labor,0,S,0,0,0,Cat,0,,1,4,1,2,19,US,guest1030
1067648,Mcgowan,Pedro,875 N Brea Blvd ,92821-2606,58806,Brea,1134,California,102,United States,11,North America,71,-1,59,Doctorate,Pedro.Mcgowan@oraclemail.com,,Male,1,119399,"F: 110,000 - 129,999",0,Business,0,S,0,1,0,Unknown,0,Own,10,20,,5,38,US,guest2328
1067879,Franklin,Vernon,222 N Sepulveda Boulevard,90245,49648,El Segundo,1134,California,102,United States,11,North America,51,10,435,Bachelors,Vernon.Franklin@oraclemail.com,Yes,Male,5,49390,"B: 30,000 - 49,999",0,Services,1,M,410000,2,2,Dog,0,Own,6,31,11,6,18,US,guest1016
1068024,Bright,Maryanne,8620 California Ave ,90280-3004,83350,South Gate,1134,California,102,United States,11,North America,26,15,160,Masters,Maryanne.Bright@oraclemail.com,Yes,Female,1,105734,"E: 90,000 - 109,999",0,Business,0,S,0,1,0,Unknown,0,Rent,5,6,2,5,2,US,guest4106
1068882,Wolf,Jefferson,3711 Long Beach Blvd,90807,10753,Long Beach,1134,California,102,United States,11,North America,67,7,301,Masters,Jefferson.Wolf@oraclemail.com,Yes,Male,2,32511,"B: 30,000 - 49,999",0,Labor,0,M,0,2,0,Unknown,0,Own,8,18,5,8,26,US,guest960
1068954,Duffy,Jayne,1000 Flower St.,91201,61625,Glendale,1134,California,102,United States,11,North America,33,7,209,Associates,Jayne.Duffy@oraclemail.com,Yes,Female,3,2336,"A: Below 30,000",1,Business,2,S,0,1,0,Unknown,0,Rent,5,11,4,6,5,US,guest3186
1069126,Gallegos,Magdalena,1425 Dowell Dr ,93003-7362,65054,Ventura,1134,California,102,United States,11,North America,31,34,799,Associates,Magdalena.Gallegos@oraclemail.com,Yes,Male,1,20712,"A: Below 30,000",2,Business,2,S,0,1,0,Unknown,0,Rent,4,6,6,3,2,US,guest43
1085117,Merrill,Bud,361 Hospital Rd Ste 124,92663,51393,Newport Beach,1134,California,102,United States,11,North America,63,4,157,High School,Bud.Merrill@oraclemail.com,No,Male,2,7560,"A: Below 30,000",0,Professional,0,S,0,1,0,Unknown,0,Rent,9,38,23,5,18,US,guest2604
1085166,Mejia,Jody,44811 Sierra Hwy,93534,36334,Lancaster,1134,California,102,United States,11,North America,75,-1,44,Associates,Jody.Mejia@oraclemail.com,,Male,1,13819,"A: Below 30,000",0,Business,0,S,0,1,0,Unknown,0,Rent,10,14,,1,1,US,guest4493
1085227,Gilliam,Bobbie,1020 Termino Ave ,90804-4123,10753,Long Beach,1134,California,102,United States,11,North America,33,6,157,Masters,Bobbie.Gilliam@oraclemail.com,No,Male,4,112151,"F: 110,000 - 129,999",0,Skilled,1,M,0,2,0,Unknown,0,Rent,3,7,3,1,1,US,guest3413
1085415,Conley,Sonja,4111 Las Virgenes Rd,91302,10750,Calabasas,1134,California,102,United States,11,North America,68,-1,139,Doctorate,Sonja.Conley@oraclemail.com,,Female,1,63466,"C: 50,000 - 69,999",0,Skilled,0,S,0,1,0,Unknown,0,Rent,9,3,,7,4,US,guest2090
1085725,Wells,Judith,3011 Malibu Canyon Rd,90265,55379,Malibu,1134,California,102,United States,11,North America,56,11,254,Associates,Judith.Wells@oraclemail.com,No,Female,2,11587,"A: Below 30,000",0,Professional,3,M,0,2,0,Other,0,Own,8,37,9,4,29,US,guest587
1086079,Sosa,Tod,9849 Liggett St,90706,49515,Bellflower,1134,California,102,United States,11,North America,63,12,393,LessThanHS,Tod.Sosa@oraclemail.com,Yes,Male,2,9387,"A: Below 30,000",0,Business,1,M,0,2,0,Dog,0,Own,8,24,24,11,4,US,guest508
1086326,Odom,Charles,24930 Avenue Stanford    .,91355,95170,Santa Clarita,1134,California,102,United States,11,North America,23,32,884,Masters,Charles.Odom@oraclemail.com,Yes,Male,1,76375,"D: 70,000 - 89,999",1,Labor,1,S,0,1,0,Unknown,0,Rent,4,4,2,5,2,US,guest269
1086373,Meyer,Barbra,100 Academy Drive,92612,10756,Irvine,1134,California,102,United States,11,North America,17,-1,0,LessThanHS,Barbra.Meyer@oraclemail.com,,Female,7,18074,"A: Below 30,000",0,Scientific,0,S,0,1,0,Dog,0,,1,4,,1,17,US,guest1694
1086490,Mckinney,Lonnie,870 Santa Barbara Drive,92658,51393,Newport Beach,1134,California,102,United States,11,North America,53,4,140,Doctorate,Lonnie.Mckinney@oraclemail.com,Yes,Male,7,96059,"E: 90,000 - 109,999",0,Clerical,0,M,270000,2,2,Other,0,Own,6,5,5,6,6,US,guest1127
1086716,Vincent,Alison,1020 Termino Ave ,90804-4123,10753,Long Beach,1134,California,102,United States,11,North America,26,30,87,LessThanHS,Alison.Vincent@oraclemail.com,Yes,Female,1,37357,"B: 30,000 - 49,999",0,Skilled,0,S,0,1,0,Unknown,0,Rent,5,3,1,1,1,US,guest3016
1086719,Knowles,Jimmie,1053 East 5th Street,90806,10753,Long Beach,1134,California,102,United States,11,North America,54,11,180,Bachelors,Jimmie.Knowles@oraclemail.com,Yes,Male,2,117775,"F: 110,000 - 129,999",0,None,0,M,0,1,0,Unknown,0,Rent,6,23,4,1,1,US,guest2306
1086730,Gibbs,Bette,5050 Barranca Pkwy ,92618,10756,Irvine,1134,California,102,United States,11,North America,53,5,272,Doctorate,Bette.Gibbs@oraclemail.com,Yes,Female,2,34271,"B: 30,000 - 49,999",2,Business,1,S,60000,2,1,Unknown,0,Own,7,24,6,6,20,US,guest2838
1087356,Lane,Preston,23845 Mcbean Pkwy ,91355-2001,63637,Valencia,1134,California,102,United States,11,North America,42,18,206,Associates,Preston.Lane@oraclemail.com,Yes,Male,7,4794,"A: Below 30,000",2,Scientific,1,M,190000,2,2,Dog,0,Own,6,10,5,10,20,US,guest1363
1087435,Burks,Booker,1350 3rd St,91750,82141,La Verne,1134,California,102,United States,11,North America,19,1,0,High School,Booker.Burks@oraclemail.com,Yes,Male,2,15922,"A: Below 30,000",0,Business,0,S,0,1,0,Other,0,,1,1,1,3,19,US,guest1105
1087670,Sawyer,Jame,931 W Philadelphia St,91762,110697,Ontario,1134,California,102,United States,11,North America,60,20,494,Associates,Jame.Sawyer@oraclemail.com,Yes,Male,2,74976,"D: 70,000 - 89,999",0,Professional,0,M,0,2,0,Other,0,Own,8,35,27,9,2,US,guest695
1088363,Perry,Christa,320 N Flower St Ste 400,92704-3909,23311,Santa Ana,1134,California,102,United States,11,North America,76,-1,68,Associates,Christa.Perry@oraclemail.com,,Female,2,26710,"A: Below 30,000",0,Business,0,M,0,1,0,Unknown,0,Rent,10,20,,7,7,US,guest2997
1088484,Doyle,Malcolm,12029 Avalon Blvd ,90061-2838,79886,Los Angeles,1134,California,102,United States,11,North America,28,14,646,Associates,Malcolm.Doyle@oraclemail.com,Yes,Male,1,34350,"B: 30,000 - 49,999",2,Skilled,2,S,0,1,0,Unknown,0,Rent,4,7,3,3,3,US,guest450
1088583,Espinoza,Antoine,515 Kelton Ave. Apt. #212,90036,79886,Los Angeles,1134,California,102,United States,11,North America,46,30,120,LessThanHS,Antoine.Espinoza@oraclemail.com,Yes,Male,1,10085,"A: Below 30,000",0,Professional,1,S,160000,1,1,Unknown,0,Own,6,25,6,6,18,US,guest1578
1065217,Barnes,Devin,505 N La Brea Ave,90036,79886,Los Angeles,1134,California,102,United States,11,North America,50,1,303,LessThanHS,Devin.Barnes@oraclemail.com,Yes,Male,1,16036,"A: Below 30,000",0,Skilled,3,S,100000,1,1,Unknown,0,Own,6,13,7,10,18,US,guest1575
1066304,Taylor,Robyn,312 North Spring Street,90012,79886,Los Angeles,1134,California,102,United States,11,North America,34,1,307,Masters,Robyn.Taylor@oraclemail.com,No,Female,4,99367,"E: 90,000 - 109,999",0,Sales,1,M,0,2,0,Unknown,0,Rent,3,9,1,3,3,US,guest4110
